program_id,tcas_year,year_ce,seats,applicants,accepted,min_score,max_score
10020104210401A,66,2023,55,508,55,52.6745,61.1745
10020104210401A,67,2024,50,573,50,48.0662,57.7662
10020104210401A,68,2025,65,842,65,54.2993,64.1996
10020104210402E,66,2023,20,17,5,27.2495,64.0996
10020104210402E,67,2024,30,52,18,19.9314,54.6484
10020104210402E,68,2025,30,75,25,25.805,61.2217
10020104210404A,66,2023,30,272,30,53.0831,61.9913
10020104210404A,67,2024,30,364,30,46.5331,56.0414
10020104210404A,68,2025,24,652,24,54.691,60.1576
10020104210501A,63,2020,35,159,35,14325.5,16876
10020104210501A,64,2021,15,514,17,16814.2,17737.24
10020104210501A,65,2022,50,1716,50,51.8,67.575
10020104210501A,66,2023,45,1616,45,64.383,69.208
10020104210501A,67,2024,46,481,46,46.2913,56.5748
10020104210501A,68,2025,55,1268,56,54.9164,63.1997
10020104210601A,63,2020,20,137,20,14828.5,18370
10020104210601A,64,2021,23,174,48,14145,17927.74
10020104210601A,65,2022,40,236,40,33.738,54.1362
10020104210601A,66,2023,35,602,35,54.4,62.7106
10020104210601A,67,2024,30,351,30,49.4886,55.5106
10020104210601A,68,2025,40,587,40,54.3996,64.7998
10020104210701A,63,2020,20,81,20,13807.5,18317
10020104210701A,64,2021,10,369,13,16600.24,17974.54
10020104210701A,65,2022,30,970,30,49.5137,58.7785
10020104210701A,66,2023,25,1453,25,68.3135,74.4375
10020104210701A,67,2024,28,242,28,48.708,62.1665
10020104210701A,68,2025,31,400,31,53.5493,60.866
10020104210702A,63,2020,35,160,35,13766.5,16871.5
10020104210702A,64,2021,10,253,11,15433.34,17284.04
10020104210702A,65,2022,35,358,35,40.7735,48.0279
10020104210702A,66,2023,32,863,32,61.1329,69.1915
10020104210702A,67,2024,15,204,15,46.8332,56.5884
10020104210702A,68,2025,11,711,11,56.8915,64.025
10020104211201E,63,2020,30,16,8,11241,13819.5
10020104211201E,64,2021,20,40,9,11708.7,15400.64
10020104211201E,65,2022,30,45,5,38.1559,47.0313
10020104211201E,66,2023,40,80,31,36.1885,71.2814
10020104211201E,67,2024,40,92,27,31.1548,60.3216
10020104211201E,68,2025,53,145,53,32.5082,62.5328
10020104212301A,63,2020,18,60,18,13072,16307.8
10020104212301A,64,2021,9,127,12,14514.9,16277.8
10020104212301A,65,2022,35,265,35,44.6206,57.1333
10020104212301A,66,2023,32,187,32,55.9246,68.8665
10020104212301A,67,2024,40,163,40,42.4772,56.6884
10020104212301A,68,2025,40,223,40,46.9413,65.2161
10020104212501A,63,2020,20,109,20,12482,14592
10020104212501A,64,2021,20,129,28,11056.9,16812.94
10020104212501A,65,2022,28,195,28,35.2412,52.6823
10020104212501A,66,2023,30,436,30,68.6943,76.6735
10020104212501A,67,2024,20,87,20,31.7495,53.722
10020104212501A,68,2025,20,433,20,46.622,54.0996
10020104212601A,63,2020,15,107,15,13649,16621.5
10020104212601A,64,2021,5,120,5,15278.64,15987.5
10020104212601A,65,2022,50,244,51,40.3912,54.0539
10020104212601A,66,2023,40,128,40,47.0997,58.7121
10020104212601A,67,2024,45,284,45,46.333,54.0275
10020104212601A,68,2025,51,288,51,49.1525,65.694
10020104212701A,63,2020,25,48,22,9936.2,16438
10020104212701A,64,2021,20,274,27,12882.94,16269.94
10020104212701A,65,2022,40,212,40,24.3226,40.5547
10020104212701A,66,2023,45,260,45,48.1218,71.1216
10020104212701A,67,2024,40,409,40,47.3548,59.5662
10020104212701A,68,2025,40,416,40,53.7216,65.566
10020104212702A,63,2020,35,108,35,12221,16566
10020104212702A,64,2021,25,134,36,12061.74,15173.54
10020104212702A,65,2022,40,98,29,19.6009,48.4892
10020104212702A,66,2023,40,249,40,54.7747,71.0999
10020104212702A,67,2024,40,134,40,37.6772,57.3496
10020104212702A,68,2025,36,509,36,50.1831,57.1166
10020104213301A,63,2020,5,39,5,14900,16536
10020104213301A,64,2021,15,154,19,14624.7,16534.1
10020104213301A,65,2022,46,464,46,43.6794,56.8285
10020104213301A,66,2023,30,507,30,63.5272,75.0216
10020104213301A,67,2024,15,385,15,57.583,63.7355
10020104213301A,68,2025,15,404,15,61.458,64.6385
10020104213301B,63,2020,35,44,20,9565.4,14298.5
10020104213301B,64,2021,30,101,27,8472.54,15206.4
10020104213301B,65,2022,70,87,19,26.75,45.8029
10020104213301B,66,2023,70,75,31,34.7332,63.2608
10020104213301B,67,2024,60,297,60,42.4855,59.708
10020104213301B,68,2025,70,412,70,50.458,59.1525
10020104213601E,64,2021,20,7,4,11100.4,13363
10020104213601E,65,2022,30,20,5,26.3,28.55
10020104213601E,66,2023,30,21,11,38.5664,60.8496
10020104213601E,67,2024,30,41,13,21.4995,67.833
10020104213601E,68,2025,30,96,30,32.333,54
10020104220201A,63,2020,16,220,16,16917.5,18908.5
10020104220201A,64,2021,20,82,0,0,0
10020104220201A,65,2022,24,2815,24,62.138,74.55
10020104220201A,66,2023,28,3352,28,81.9666,88.3916
10020104220201A,67,2024,30,1781,30,71.666,77.9995
10020104220201A,68,2025,25,1208,25,75.333,81.5
10020104220201B,63,2020,60,198,60,12694.5,16518.5
10020104220201B,64,2021,45,66,8,14048.2,15390.14
10020104220201B,65,2022,75,731,75,46.2323,60.7853
10020104220201B,66,2023,55,956,55,73.4582,86.3581
10020104220201B,67,2024,60,680,60,61.666,75.4995
10020104220201B,68,2025,55,631,55,67.466,77.5998
10020105300501A,63,2020,10,114,10,20875.25,23467
10020105300501A,64,2021,8,609,9,21578.6,23217.04
10020105300501A,65,2022,45,1116,45,54.1598,76.3333
10020105300501A,66,2023,40,1702,40,56.6,66.2332
10020105300501A,67,2024,40,2189,40,57.3275,68.6773
10020105300501A,68,2025,35,1603,35,62.0051,75.6441
10020105300601A,63,2020,20,45,20,17861,22419.2
10020105300601A,64,2021,16,276,17,18048.49,21258.3
10020105300601A,65,2022,46,277,46,36.5637,49.4
10020105300601A,66,2023,26,325,26,41.3332,50.9666
10020105300601A,67,2024,15,594,15,44.3332,50.4998
10020105300601A,68,2025,10,425,10,50.2666,54.633
10020105300601B,63,2020,15,36,15,16036.9,18177
10020105300601B,64,2021,10,83,38,9972.24,17890
10020105300601B,65,2022,40,91,16,31.7206,41.4637
10020105300601B,66,2023,40,93,40,27.2664,40.4998
10020105300601B,67,2024,39,649,39,34.5664,44.0332
10020105300601B,68,2025,35,381,35,41.0166,48.5999
10020105300701A,63,2020,10,50,10,19048,20758
10020105300701A,64,2021,10,251,13,18387.84,21125.5
10020105300701A,65,2022,50,511,50,40.8583,53.4686
10020105300701A,66,2023,25,781,25,49.8664,70.5999
10020105300701A,67,2024,21,847,21,48.8498,60.9832
10020105300701A,68,2025,22,1163,22,59.3498,68.15
10020105300701B,63,2020,10,71,10,16600.75,19235.25
10020105300701B,64,2021,10,115,27,13644.9,18352.95
10020105300701B,65,2022,60,209,58,26.8049,42.0167
10020105300701B,66,2023,53,291,53,34.7665,49.7
10020105300701B,67,2024,35,532,35,38.3331,46.4332
10020105300701B,68,2025,34,743,34,47.9332,54.4166
10020105300701E,64,2021,5,63,9,12475.09,16938.95
10020105300701E,65,2022,35,34,11,31.3803,45.6047
10020105300701E,66,2023,44,34,8,25.6665,59
10020105300701E,67,2024,30,129,30,28.7666,49.1331
10020105300701E,68,2025,20,219,20,39.7665,48.4831
10020105301001E,63,2020,10,35,10,17181.35,20244.25
10020105301001E,64,2021,6,110,7,18210,19703.7
10020105301001E,65,2022,33,139,33,37.0667,55.9274
10020105301001E,66,2023,22,230,22,48.8332,58.4665
10020105301001E,67,2024,29,320,29,48.983,72.411
